Month,Number
2000-01,753
2000-02,448
2000-03,356
2000-04,504
2000-05,698
2000-06,256
2000-07,361
2000-08,476
2000-09,541
2000-10,812
2000-11,914
2000-12,998
2001-01,762
2001-02,461
2001-03,374
2001-04,521
2001-05,712
2001-06,274
2001-07,384
2001-08,492
2001-09,561
2001-10,821
2001-11,930
2001-12,1014
2002-01,779
2002-02,478
2002-03,391
2002-04,543
2002-05,910
2002-06,287
2002-07,399
2002-08,511
2002-09,584
2002-10,843
2002-11,951
2002-12,1028
2003-01,793
2003-02,491
2003-03,407
2003-04,559
2003-05,755
2003-06,304
2003-07,418
2003-08,536
2003-09,601
2003-10,862
2003-11,973
2003-12,1058
2004-01,587
2004-02,281
2004-03,210
2004-04,349
2004-05,561
2004-06,123
2004-07,225
2004-08,304
2004-09,416
2004-10,642
2004-11,769
2004-12,853
2005-01,572
2005-02,273
2005-03,208
2005-04,341
2005-05,553
2005-06,136
2005-07,231
2005-08,299
2005-09,403
2005-10,632
2005-11,759
2005-12,848
2006-01,561
2006-02,268
2006-03,212
2006-04,331
2006-05,542
2006-06,128
2006-07,225
2006-08,301
2006-09,389
2006-10,624
2006-11,748
2006-12,842